CODIGO,MATERIA,REPETICION
101517012008,Opcion de grado: Practica-pasantia,1
101517012009,Opcion de grado: Practica-pasantia,1
101517012012,Opcion de grado: Practica-pasantia,1
101517012000,Opcion de grado: Practica-pasantia,1
101517012010,Opcion de grado: Practica-pasantia,1
101517012014,Práctica Profesional Integral ,1
101517012007,Práctica Profesional Integral ,1
100117011084,AFF- Danza folclórica,1
100120011418,Argumentación Jurídica,2
100120011414,Argumentación Jurídica,1
100122011169,Bienes,1
100119010366,Bienes,1
100121020890,Bienes,1
100121011054,Bienes,1
100122011210,Bienes,1
100119020987,Bienes,2
100117020706,Bienes,2
100122011150,Bienes,1
100118020944,Contratación Estatal y Responsabilidad Extracontractual,1
100119010388,Contratación Estatal y Responsabilidad Extracontractual,1
100118021519,Contratación Estatal y Responsabilidad Extracontractual,1
100117020682,Contratación Estatal y Responsabilidad Extracontractual,1
100113020348,Contratación Estatal y Responsabilidad Extracontractual,2
100116011633,Contratación Estatal y Responsabilidad Extracontractual,2
100118010618,Contratación Estatal y Responsabilidad Extracontractual,1
100119021012,Contratación Estatal y Responsabilidad Extracontractual,1
100119021038,Contratos Privados,3
100116011074,Contratos Privados,3
100117021352,Contratos Privados,1
100121011073,Contratos Privados,1
100118010357,Contratos Privados,1
100119021009,Contratos Privados,2
100121011105,Contratos Privados,1
01062204,Contratos Privados,2
100121011060,Contratos Privados,1
100121011063,Contratos Privados,1
100119010373,Contratos Privados,1
100118020951,Contratos Privados,2
100119010356,Contratos Privados,2
100121011110,Contratos Privados,1
100121011754,Contratos Privados,1
100121011125,Contratos Privados,1
100117010789,Criminología,1
200117021758,Criminología,1
100118020911,Criminología,1
100118010713,Criminología,1
100116020490,Criminología,1
100116011650,Criminología,2
100116011079,Criminología,1
100117020798,Criminología,1
100111010888,Criminología,1
100118010365,Criminología,1
01102104,Criminología,1
100117011194,Criminología,2
100119010366,Derecho Administrativo General,1
100116010789,Derecho Administrativo General,3
100119021009,Derecho Administrativo General,1
100117011402,Derecho Administrativo General,2
100118020967,Derecho Administrativo General,1
01062204,Derecho Administrativo General,3
100120011480,Derecho Administrativo General,1
100120011438,Derecho Administrativo General,1
100120011409,Derecho Administrativo General,1
100118020913,Derecho Administrativo General,2
100111024105,Derecho Administrativo General,2
100117010792,Derecho Administrativo General,2
100117021362,Derecho Administrativo General,1
100117021352,Derecho Comercial General y Sociedades,1
100118010357,Derecho Comercial General y Sociedades,1
01062204,Derecho Comercial General y Sociedades,2
100119010377,Derecho Comercial General y Sociedades,1
100118020951,Derecho Comercial General y Sociedades,3
100112021144,Derecho Comercial General y Sociedades,1
100111024105,Derecho Comercial General y Sociedades,1
100118020967,Derecho Comercial Titulos Valores,1
200117021758,Derecho Comercial Titulos Valores,1
100118020911,Derecho Comercial Titulos Valores,1
100116020490,Derecho Comercial Titulos Valores,3
100119021032,Derecho de Familia,1
100120011407,Derecho de Familia,1
100120011477,Derecho de Familia,1
100120011440,Derecho de Familia,1
100120011461,Derecho de Familia,1
100119021035,Derecho de Familia,1
100119021038,Derecho de la Seguridad Social,2
100118020969,Derecho de la Seguridad Social,1
100116010789,Derecho de la Seguridad Social,2
